num_sectors,a_s,radius,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,20,10000,9,-1,4.049591266424422,2.4574705567735973
6,0.4,20,10000,9,0,3.257729867274064,1.9599403196444751
6,0.4,20,10000,9,1,2.652258512930917,1.597098647477994
6,0.4,20,10000,9,2,2.095946929588432,1.2622596759739864
6,0.4,20,10000,9,3,1.7318213254375678,1.0488075276148168
6,0.4,20,10000,9,4,1.4293361948748686,0.8635065172192676
6,0.4,20,10000,9,5,1.2342924458392313,0.7470465709202896
6,0.4,20,10000,9,6,1.0863050455563015,0.6540713206550007
6,0.4,20,10000,9,7,0.9714561181251826,0.5884784708657876
6,0.4,20,10000,9,8,0.9020481728619022,0.5469801724344582
6,0.4,20,10000,9,9,0.843009560494141,0.5133613011851585
6,0.4,20,10000,9,10,0.7831785305322471,0.47942058780721464
6,0.4,20,10000,9,11,0.7579343919044389,0.46066850781167423
6,0.4,20,10000,9,12,0.7327316027473095,0.44733643471720386
6,0.4,20,10000,9,13,0.7143483597631589,0.440998410439634
6,0.4,20,10000,9,14,0.7074169924487064,0.4351986060086663
6,0.4,20,10000,9,15,0.6842292464922703,0.4210220018754171
6,0.4,20,10000,9,16,0.6794419106390481,0.42072631620130674
6,0.4,20,10000,9,17,0.6684056849833921,0.4167519862044887
6,0.4,20,10000,9,18,0.6621383799097557,0.40841440286722214
6,0.4,20,10000,9,19,0.6645892450749387,0.4140388244259071
6,0.4,20,10000,15,-1,3.432955497750944,2.0059771955405004
6,0.4,20,10000,15,0,2.8237388248462727,1.6355404127881468
6,0.4,20,10000,15,1,2.2216015157820244,1.304870187236359
6,0.4,20,10000,15,2,1.7549918364566641,1.0400489034040865
6,0.4,20,10000,15,3,1.41566449277212,0.8493503868369798
6,0.4,20,10000,15,4,1.1556738176492716,0.6927413844004333
6,0.4,20,10000,15,5,0.9777438287195208,0.5893696363051053
6,0.4,20,10000,15,6,0.8466265940917255,0.510068181886939
6,0.4,20,10000,15,7,0.7750928360030419,0.4691869732844705
6,0.4,20,10000,15,8,0.7065702610840809,0.4260327539296647
6,0.4,20,10000,15,9,0.6542616970533823,0.3969826602019458
6,0.4,20,10000,15,10,0.6288784241458376,0.3833555102347357
6,0.4,20,10000,15,11,0.6069993847659897,0.37345580279623103
6,0.4,20,10000,15,12,0.5912434896067741,0.36146921791938413
6,0.4,20,10000,15,13,0.5711472780999852,0.3518514769080681
6,0.4,20,10000,15,14,0.5620343579332338,0.35051501345535757
6,0.4,20,10000,15,15,0.5536105497557245,0.3432461189640612
6,0.4,20,10000,15,16,0.543787922962472,0.3381123417391302
6,0.4,20,10000,15,17,0.5444223498543622,0.3391209466624147
6,0.4,20,10000,15,18,0.5385100478625701,0.3326978430033655
6,0.4,20,10000,15,19,0.5348518361240215,0.33339732225359897
