num_sectors,a_s,radius,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,20,10000,5,-1,4.563258590286996,2.8495267893360574
6,0.4,20,10000,5,0,3.76022523729004,2.3315383148794835
6,0.4,20,10000,5,1,3.059450812285322,1.8730625628184456
6,0.4,20,10000,5,2,2.5043946824087837,1.5246103652847414
6,0.4,20,10000,5,3,2.1241170762564265,1.2759842716999772
6,0.4,20,10000,5,4,1.8380629395905554,1.1166319729820056
6,0.4,20,10000,5,5,1.6106578084207372,0.969822892799534
6,0.4,20,10000,5,6,1.431982888533466,0.868858714747862
6,0.4,20,10000,5,7,1.30730889307811,0.7904783380205286
6,0.4,20,10000,5,8,1.1761336012658457,0.7098481588395119
6,0.4,20,10000,5,9,1.097859285858878,0.6619920023897379
6,0.4,20,10000,5,10,1.0431957395036715,0.6287952382207141
6,0.4,20,10000,5,11,0.9997318686684264,0.6032472379388191
6,0.4,20,10000,5,12,0.9615178169755119,0.5808275939631036
6,0.4,20,10000,5,13,0.9292029287444935,0.561417205366846
6,0.4,20,10000,5,14,0.9015282990010244,0.5481605314915361
6,0.4,20,10000,5,15,0.8973647266043616,0.5435226444429901
6,0.4,20,10000,5,16,0.8741992583305989,0.5308829092219894
6,0.4,20,10000,5,17,0.8619436519302337,0.5244211562204195
6,0.4,20,10000,5,18,0.8658335360005317,0.5216893198703688
6,0.4,20,10000,5,19,0.8468420313656237,0.5115065590920094
6,0.4,20,10000,9,-1,3.359852537336472,2.048340506143362
6,0.4,20,10000,9,0,2.72177473712396,1.651814553180621
6,0.4,20,10000,9,1,2.2824645402333785,1.3929977960969155
6,0.4,20,10000,9,2,1.8712100804918221,1.1371541341462714
6,0.4,20,10000,9,3,1.5956117100712697,0.9683636655771447
6,0.4,20,10000,9,4,1.3636504445357338,0.8281889461214407
6,0.4,20,10000,9,5,1.1780526600715993,0.7121666744656553
6,0.4,20,10000,9,6,1.0538627731155437,0.63950589327391
6,0.4,20,10000,9,7,0.9725349382521052,0.589861191579847
6,0.4,20,10000,9,8,0.9011466476681314,0.545590413015407
6,0.4,20,10000,9,9,0.8198537981716041,0.49002177399767766
6,0.4,20,10000,9,10,0.7847621884452969,0.47559474886348185
6,0.4,20,10000,9,11,0.7456681442265713,0.44733614627579027
6,0.4,20,10000,9,12,0.7278360842118299,0.44042219988004755
6,0.4,20,10000,9,13,0.6976906443374769,0.41839534113281
6,0.4,20,10000,9,14,0.6763860561401136,0.4077907452474716
6,0.4,20,10000,9,15,0.6568292026982034,0.39376604670564014
6,0.4,20,10000,9,16,0.6485689808699137,0.3918986043617735
6,0.4,20,10000,9,17,0.6516525463138868,0.39349641727352735
6,0.4,20,10000,9,18,0.6386742985175564,0.3835573945324284
6,0.4,20,10000,9,19,0.6387310006246958,0.385835772904128
6,0.4,20,10000,15,-1,2.638624077791476,1.605348154252935
6,0.4,20,10000,15,0,2.139074982259581,1.3015928757349793
6,0.4,20,10000,15,1,1.7466929614591418,1.0513526853899928
6,0.4,20,10000,15,2,1.43991591543693,0.8696434085632013
6,0.4,20,10000,15,3,1.2425949182830744,0.7453172765460355
6,0.4,20,10000,15,4,1.067591285332136,0.6452102831602028
6,0.4,20,10000,15,5,0.9268548814387776,0.5643335550250437
6,0.4,20,10000,15,6,0.8253256053512562,0.49796064817760793
6,0.4,20,10000,15,7,0.7626622853759842,0.4599761103561819
6,0.4,20,10000,15,8,0.6875300098128733,0.4087245056060659
6,0.4,20,10000,15,9,0.6496908664126643,0.3944204442484421
6,0.4,20,10000,15,10,0.6050657449241261,0.3649912152132581
6,0.4,20,10000,15,11,0.5762548599199734,0.3486967224493842
6,0.4,20,10000,15,12,0.5548420316698421,0.33398679980745954
6,0.4,20,10000,15,13,0.5366270435815376,0.32098975000128216
6,0.4,20,10000,15,14,0.5263366715839288,0.3165209714499785
6,0.4,20,10000,15,15,0.5148237371965512,0.31004635624150145
6,0.4,20,10000,15,16,0.5115217163922651,0.3088843766372588
6,0.4,20,10000,15,17,0.4973241854424092,0.29923082986228894
6,0.4,20,10000,15,18,0.4934045267693422,0.2956675398050091
6,0.4,20,10000,15,19,0.4862823790379948,0.2931476574344609
