num_sectors,a_s,drone_spacing,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,10,10000,5,-1,4.4367916583782065,2.741992260143289
6,0.4,10,10000,5,0,3.581777150051699,2.208237352937033
6,0.4,10,10000,5,1,2.9986918305529433,1.832794154728367
6,0.4,10,10000,5,2,2.4601919398341447,1.493393888708054
6,0.4,10,10000,5,3,2.100396522807294,1.2760740124220415
6,0.4,10,10000,5,4,1.8277731382690898,1.099328939898373
6,0.4,10,10000,5,5,1.6163656633634682,0.972386161817121
6,0.4,10,10000,5,6,1.4315519352929849,0.8624401338757887
6,0.4,10,10000,5,7,1.2997120537264364,0.7869370921303532
6,0.4,10,10000,5,8,1.1921201671686272,0.7141378469103742
6,0.4,10,10000,5,9,1.1185165989589465,0.6771800646854109
6,0.4,10,10000,5,10,1.0449254919462592,0.6242706688189054
6,0.4,10,10000,5,11,0.9978356960565212,0.6034693569687419
6,0.4,10,10000,5,12,0.9734527821337715,0.5936411792574867
6,0.4,10,10000,5,13,0.9387229695587566,0.5673989948640752
6,0.4,10,10000,5,14,0.9074301581198829,0.5432803464755706
6,0.4,10,10000,5,15,0.9011812789988876,0.5467652118247442
6,0.4,10,10000,5,16,0.8820138706216024,0.5331299557573735
6,0.4,10,10000,5,17,0.8653127129641305,0.5183321840109618
6,0.4,10,10000,5,18,0.849094757517119,0.5087617949984037
6,0.4,10,10000,5,19,0.8703910515316234,0.5241401500303906
6,0.4,10,10000,9,-1,3.271431620251284,2.0102704368757833
6,0.4,10,10000,9,0,2.664675728705184,1.6306723248225583
6,0.4,10,10000,9,1,2.2357180344296887,1.3632180447157052
6,0.4,10,10000,9,2,1.8468633967048098,1.1190537431238825
6,0.4,10,10000,9,3,1.5695920186429966,0.9521031413179962
6,0.4,10,10000,9,4,1.3602425577917436,0.8144675766526034
6,0.4,10,10000,9,5,1.2050825246406889,0.7302782766476232
6,0.4,10,10000,9,6,1.0777457888596536,0.6556694490586576
6,0.4,10,10000,9,7,0.9714853804052909,0.5851012581536331
6,0.4,10,10000,9,8,0.9069822523998122,0.5428306226365012
6,0.4,10,10000,9,9,0.83722131277108,0.504365209822673
6,0.4,10,10000,9,10,0.7894519275522043,0.4826024108506599
6,0.4,10,10000,9,11,0.7609649708263178,0.46172932695525337
6,0.4,10,10000,9,12,0.7256597670256357,0.43719915590798597
6,0.4,10,10000,9,13,0.7064010873451513,0.42570559533418706
6,0.4,10,10000,9,14,0.6842832456363395,0.41473304824453777
6,0.4,10,10000,9,15,0.666548725069356,0.3999764516250656
6,0.4,10,10000,9,16,0.6733790036739045,0.40951816383439626
6,0.4,10,10000,9,17,0.6594325627294297,0.39856388797747994
6,0.4,10,10000,9,18,0.6505673816861373,0.3962966856271371
6,0.4,10,10000,9,19,0.6447981934047384,0.3873476723407455
6,0.4,10,10000,15,-1,2.567647848663336,1.5594449768540202
6,0.4,10,10000,15,0,2.109270730746842,1.2783463477896249
6,0.4,10,10000,15,1,1.7219116592932164,1.0502545342060494
6,0.4,10,10000,15,2,1.4592507953525489,0.8870359953701998
6,0.4,10,10000,15,3,1.2165399404071497,0.7397890302200665
6,0.4,10,10000,15,4,1.0767901796546642,0.6520755870348378
6,0.4,10,10000,15,5,0.9360620776730384,0.566689767298513
6,0.4,10,10000,15,6,0.8498327384619403,0.5147819407790908
6,0.4,10,10000,15,7,0.7742154397261533,0.4642958533907261
6,0.4,10,10000,15,8,0.7085667301535928,0.4268269709030879
6,0.4,10,10000,15,9,0.6617252637426633,0.3968141263362516
6,0.4,10,10000,15,10,0.6147577461139603,0.3736350978247641
6,0.4,10,10000,15,11,0.6032551290981314,0.3650833561127089
6,0.4,10,10000,15,12,0.5792152021255768,0.35173920530512054
6,0.4,10,10000,15,13,0.5666156836012555,0.34259596062932846
6,0.4,10,10000,15,14,0.5423971235108179,0.32761895016393033
6,0.4,10,10000,15,15,0.5353508257696564,0.3244046266588632
6,0.4,10,10000,15,16,0.5208417026343989,0.31569437278570855
6,0.4,10,10000,15,17,0.5259666859485322,0.3193906610604633
6,0.4,10,10000,15,18,0.5154572065083105,0.3113777920337192
6,0.4,10,10000,15,19,0.5214368935863187,0.31579373639456615
